,name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
54,Louie Louie,The Kingsmen,spotify:track:0iA3xXSkSCiJywKyo1UKjQ,0.102,0.623,0.709,0,0.0967,-9.818,0.0636,122.394,0.948,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
55,Long Tall Sally,Little Richard,spotify:track:1q7njNe2QfE0xbZMtTOT2m,0.608,0.415,0.635,0,0.25,-8.982,0.0772,183.665,0.842,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
56,A Whiter Shade Of Pale,Procol Harum,spotify:track:3qitymULqEibr7yknRMKU4,0.504,0.249,0.66,0.0026,0.0891,-6.905,0.0342,149.813,0.435,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
57,Billie Jean - Single Version,Michael Jackson,spotify:track:6aLWY1Lax3ASlHzNAl2xRZ,0.0186,0.923,0.582,0.0366,0.0453,-5.115,0.0417,117.182,0.82,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
58,The Times They Are A-Changin',Bob Dylan,spotify:track:52vA3CYKZqZVdQnzRrdZt6,0.887,0.389,0.396,0,0.0828,-7.999,0.0332,171.86,0.585,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
59,Let's Stay Together,Al Green,spotify:track:3uJ8zHRASayItvcSRh8TIm,0.527,0.728,0.467,2.4e-05,0.0416,-7.394,0.0501,101.536,0.584,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
60,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,spotify:track:3LUHtV6F7IHAOognkvcEKv,0.741,0.35,0.573,2.03e-05,0.171,-11.34,0.0317,163.654,0.562,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
61,Bo Diddley,Bo Diddley,spotify:track:1RB0enoqsqHElR3Pag8pzU,0.393,0.826,0.753,0,0.208,-8.223,0.0572,105.473,0.48,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
62,For What It's Worth,Buffalo Springfield,spotify:track:1qRA5BS78u3gME0loMl9AA,0.406,0.653,0.519,0.0209,0.101,-10.164,0.0497,98.883,0.822,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
63,She Loves You - Remastered,The Beatles,spotify:track:3MbjEDPm5qtuJxiC86PWKy,0.218,0.391,0.87,0,0.154,-5.939,0.0437,75.546,0.924,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
64,Sunshine Of Your Love,Cream,spotify:track:3XajF4Puvy3Loxbeo3kpia,0.497,0.683,0.477,0.000114,0.122,-12.606,0.0384,115.075,0.777,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
65,Redemption Song,Bob Marley & The Wailers,spotify:track:4Pl8ViAolRF4rK8QBMhKd9,0.585,0.666,0.259,0,0.079,-10.721,0.04,116.082,0.698,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
66,Jailhouse Rock,Elvis Presley,spotify:track:1HvtjEUAEgev6klVFyZYgJ,0.303,0.631,0.639,5.54e-06,0.0699,-7.842,0.0961,167.351,0.89,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
67,Tangled Up In Blue,Bob Dylan,spotify:track:3fSmfeHzyp33FHpVKqavaw,0.32,0.429,0.749,0,0.0809,-10.194,0.0414,99.699,0.574,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
68,Crying,Roy Orbison,spotify:track:2M3OVvigcmanSnRq1sdlVE,0.758,0.35,0.293,8.21e-06,0.104,-9.502,0.0258,96.685,0.162,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
69,Walk on By,Dionne Warwick,spotify:track:3xsOtNxtBW0oTI1OWKAzTm,0.719,0.7,0.33,8.6e-05,0.136,-9.027,0.0303,98.605,0.524,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
70,California Girls - Remix,The Beach Boys,spotify:track:4mhfc5u2u2e1kRq8kZCgKr,0.304,0.447,0.782,0,0.131,-6.463,0.0357,115.043,0.822,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
71,Papa's Got A Brand New Bag - Pt. 1,James Brown,spotify:track:7K4S4lmQqvIIF2UvzB2VJA,0.564,0.774,0.718,0.0252,0.111,-8.94,0.0917,129.423,0.9,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
72,Summertime Blues,Eddie Cochran,spotify:track:2wwRSaZgshcHSvGzWryUIi,0.387,0.721,0.82,0.000326,0.198,-10.32,0.0448,155.968,0.966,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
73,Superstition - Single Version,Stevie Wonder,spotify:track:300RfAPZ57B0y6YYj9n6DN,0.0172,0.642,0.735,0.000733,0.0391,-8.866,0.0806,99.682,0.864,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
74,Whole Lotta Love - 1990 Remaster,Led Zeppelin,spotify:track:0hCB0YR03f6AmQaHbwWDe8,0.0484,0.412,0.902,0.131,0.405,-11.6,0.405,89.74,0.422,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
75,Strawberry Fields Forever - Remastered,The Beatles,spotify:track:5EuraV2jbqB15ihd3d2Hex,0.336,0.39,0.502,0.000138,0.0713,-12.277,0.178,97.871,0.289,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
76,Mystery Train,Elvis Presley,spotify:track:0K2wyTHoDRFiXy8y2N4Xo6,0.595,0.7,0.416,0.0178,0.118,-15.297,0.0321,120.273,0.658,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
77,I Got You (I Feel Good),James Brown,spotify:track:3ASrlku9X40moDdtdoPDqb,0.44,0.573,0.592,4.17e-06,0.0956,-6.724,0.13,144.408,0.707,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
78,Mr. Tambourine Man,The Byrds,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,0.513,0.456,0.47,3.76e-05,0.444,-9.564,0.0294,120.336,0.639,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
79,I Heard It Through The Grapevine,Marvin Gaye,spotify:track:27m1soUndRthrAA1ediOXn,0.195,0.729,0.324,0,0.101,-13.017,0.0393,116.855,0.679,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
80,Blueberry Hill - Remastered 2002,Fats Domino,spotify:track:2NkAoxQOr6MGdMB5JDTU81,0.849,0.479,0.506,2.69e-05,0.25,-8.175,0.0272,136.662,0.83,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
81,You Really Got Me - Remastered,The Kinks,spotify:track:09nZ9ZDWq1rTkmM3WjvMvF,0.147,0.588,0.948,7.92e-05,0.0787,-4.073,0.0974,137.294,0.962,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
82,Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,spotify:track:4DE42oDol0KHxympBsaiYu,0.183,0.425,0.369,0.00126,0.112,-11.876,0.0379,176.625,0.65,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
83,Every Breath You Take - Remastered 2003,The Police,spotify:track:5C0LFQARavkPpn7JgA4sLk,0.543,0.82,0.452,0.00294,0.0701,-9.796,0.0348,117.401,0.74,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
84,Crazy - Single Version,Patsy Cline,spotify:track:4cWtS0PJOR6KLKU6VRYUd4,0.888,0.585,0.185,0.000399,0.0845,-13.454,0.0347,105.94,0.468,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
85,Thunder Road,Bruce Springsteen,spotify:track:556BL7XJ7PFXX8r3ozKYVa,0.667,0.374,0.606,1.23e-06,0.25,-10.836,0.0347,140.267,0.649,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
86,Ring of Fire,Johnny Cash,spotify:track:5rDkA2TFOImbiVenmnE9r4,0.267,0.661,0.517,0.000158,0.431,-8.004,0.0269,104.563,0.676,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
87,My Girl,The Temptations,spotify:track:0651FOAfvX33QIjpYL4F95,0.547,0.575,0.545,0,0.116,-6.177,0.0341,104.664,0.676,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
88,California Dreamin',The Mamas & The Papas,spotify:track:63rva3TBizr6x1Yp5uwKfD,0.628,0.554,0.667,0,0.0486,-10.226,0.0342,112.749,0.597,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
89,In The Still Of The Nite,The Five Satins,spotify:track:3ZcmnvDwg7QEnEl0iKZsDZ,0.832,0.517,0.378,0,0.175,-9.663,0.029,71.84,0.237,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
90,Suspicious Minds,Elvis Presley,spotify:track:5Gmv9xfa43SxPuCD01jT9m,0.368,0.3,0.791,0.00337,0.946,-9.461,0.0574,72.538,0.72,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
91,Blitzkreig Bop,Ramones,spotify:track:2mM7o56493EoaFOjKexNaj,0.0105,0.538,0.819,0.139,0.0789,-4.025,0.0456,176.21,0.966,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
92,I Still Haven't Found What I'm Looking For,U2,spotify:track:3eHlkzXM9NQUcnIFe4MqSz,0.0183,0.558,0.628,0.00141,0.0685,-12.922,0.0371,100.633,0.695,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
93,Good Golly Miss Molly,Little Richard,spotify:track:4tG9HgvDSNKsqqwqedEF5V,0.613,0.575,0.73,0.00638,0.326,-11.885,0.0488,163.872,0.968,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
94,Blue Suede Shoes,Carl Perkins  ,spotify:track:4YvLd0iyRHrBxzxMyu8gEn,0.252,0.639,0.663,0.000963,0.173,-8.234,0.0324,84.793,0.967,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
95,Great Balls Of Fire,Jerry Lee Lewis,spotify:track:1h2NZP7rlDgelQ0r1tCOzs,0.444,0.46,0.762,0,0.328,-7.523,0.0699,159.643,0.832,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
96,Roll Over Beethoven - Single Version,Chuck Berry,spotify:track:6OrnVjcEwJqEuoG50k4LQ0,0.849,0.723,0.931,0,0.205,-5.528,0.184,92.684,0.806,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
97,Love and Happiness,Al Green,spotify:track:2N5x1dQUiWbgHBGDz9P6lr,0.179,0.822,0.412,0.000192,0.0905,-13.053,0.261,99.174,0.736,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
98,Fortunate Son,Creedence Clearwater Revival,spotify:track:3yI282DoIJyERd0vGukMoB,0.208,0.643,0.669,0.00664,0.151,-7.485,0.0398,132.709,0.609,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
99,You Can't Always Get What You Want - Single Version,The Rolling Stones,spotify:track:7htJkucLPIyXonYgv7Pkpo,0.482,0.276,0.679,4.47e-05,0.0931,-8.607,0.0768,183.71,0.54,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
100,Voodoo Child (Slight Return),Jimi Hendrix,spotify:track:2BDWCD2aOGzbYo9savEPQS,0.475,0.217,0.907,0.0134,0.0507,-6.608,0.385,175.343,0.424,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
101,Be-Bop-A-Lula - 2002 - Remastered,Gene Vincent & His Blue Caps,spotify:track:63tznJW5FCf5jM7hgYvEMe,0.511,0.592,0.562,0,0.196,-9.689,0.046,127.465,0.792,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
102,Hot Stuff,Donna Summer,spotify:track:6RVevoPzbGygqvm6LxHAuf,0.00254,0.797,0.738,0.132,0.0433,-13.87,0.0341,120.494,0.964,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
103,Living For The City,Stevie Wonder,spotify:track:1nh8sw0ZDlNbjXTGutpxwl,0.0915,0.589,0.585,0,0.291,-9.958,0.076,99.298,0.455,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
104,The Boxer,Simon & Garfunkel,spotify:track:01cY7Cc7t5zPB64uj8NGxz,0.76,0.445,0.486,0.000658,0.189,-14.521,0.0616,93.019,0.629,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
105,Mr. Tambourine Man,Bob Dylan,spotify:track:0DZZKHOPr72XhZZ7LzF2hR,0.822,0.469,0.431,0,0.359,-9.992,0.0425,85.083,0.458,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
106,Not Fade Away,Buddy Holly,spotify:track:6n8ccj8mfeKZWyvytSipKp,0.473,0.807,0.634,0,0.222,-8.91,0.0363,96.151,0.913,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
107,Little Red Corvette,Prince,spotify:track:4iozhXt27eMl39W5z7R8H6,0.281,0.748,0.746,3.31e-05,0.632,-9.721,0.111,123.144,0.709,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
108,Brown Eyed Girl,Van Morrison,spotify:track:4v0DzkZUdIqbaSTvzG1fGR,0.202,0.479,0.596,0,0.186,-10.172,0.0381,154.18,0.916,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
